文物采样点,文物编号,类型,采样标记,SiO2_预测风化前,SiO2_风化检测,Na2O_预测风化前,Na2O_风化检测,K2O_预测风化前,K2O_风化检测,CaO_预测风化前,CaO_风化检测,MgO_预测风化前,MgO_风化检测,Al2O3_预测风化前,Al2O3_风化检测,Fe2O3_预测风化前,Fe2O3_风化检测,CuO_预测风化前,CuO_风化检测,PbO_预测风化前,PbO_风化检测,BaO_预测风化前,BaO_风化检测,P2O5_预测风化前,P2O5_风化检测,SrO_预测风化前,SrO_风化检测,SnO2_预测风化前,SnO2_风化检测,SO2_预测风化前,SO2_风化检测
38,38,铅钡,普通,58.01198198360176,32.93,2.2018817774108252,1.38,0.06538288715122498,0.0,0.29833291747642326,0.68,0.222289654683366,0.0,3.464360328916562,2.57,0.22388196484977177,0.29,0.5203116160590495,0.73,24.605091951774302,49.31,8.130111559469324,9.79,0.06971332178531074,0.48,0.26055090350732235,0.41,0.10088203292310167,0.0,0.3952271003916544,0.0
39,39,铅钡,普通,52.783063167776035,26.25,0.7284742615021557,0.0,0.07462827508609178,0.0,0.5558460847511633,1.11,0.25372225396124554,0.0,0.7693062263718399,0.5,0.07489957392922941,0.0,0.7159169475591626,0.88,34.75943186924652,61.03,6.843689863513797,7.22,0.19229670315779232,1.16,0.4424639289564461,0.61,0.11514713455244432,0.0,0.4511137096360872,0.0
40,40,铅钡,普通,39.3438749928551,16.71,0.8530011390993323,0.0,0.08738538479889207,0.0,1.0964998534215613,1.87,0.29709405408162415,0.0,0.8107317030699265,0.45,0.19604213416277835,0.19,0.05239357826703015,0.0,46.82347824595833,70.21,7.425310855286288,6.69,0.34357575926936296,1.77,0.5775536706930475,0.68,0.13483062083034023,0.0,0.5282280082063944,0.0
41,41,铅钡,普通,39.865152376412894,18.46,0.7823672476858309,0.0,0.6411945762723299,0.44,2.6675323689260466,4.96,3.1655545000530183,2.73,5.50262511420591,3.33,1.6939863318738437,1.79,0.16600838384916677,0.19,26.987412835195773,44.12,9.935721046201632,9.76,1.3281561149756764,7.46,0.36613592509004117,0.47,0.1236657923272961,0.0,0.48448738693053456,0.0
43部位1,43,铅钡,部位1,29.585713450133934,12.41,0.8636925920076527,0.0,0.08848066672013233,0.0,3.1110560951331543,5.24,1.1392674464135313,0.89,4.1044667700361765,2.25,0.7939972468338973,0.76,5.160344978969075,5.35,40.414614165945736,59.85,8.192673244086222,7.29,0.003930871325558461,0.0,0.5503931157602424,0.64,0.13652057781530874,0.0,0.5348487788193828,0.0
43部位2,43,铅钡,部位2,47.944405942765194,21.7,0.8004369666891253,0.0,0.08200046768430151,0.0,3.521473882929135,6.4,1.1270085984878515,0.95,5.764963310814132,3.41,1.3458236238064294,1.39,1.3498013065335097,1.51,28.004979867150976,44.75,3.3953429601552356,3.26,2.336971581943021,12.83,0.37459227765714787,0.47,0.12652200355582563,0.0,0.4956772098281192,0.0
48,48,铅钡,普通,69.89093810954616,53.33,0.9495726804273098,0.8,0.2829923504675062,0.32,0.9203747261359042,2.82,1.0836659390671428,1.54,13.688186009848737,13.65,0.5915366397446533,1.03,0.02916262843724537,0.0,5.831623646655888,15.71,4.516005929724721,7.31,0.11884763343818175,1.1,0.11818763680031891,0.25,0.854890702880954,1.31,0.29401536682526863,0.0
49,49,铅钡,普通,54.29453106906631,28.79,0.6832243736823063,0.0,0.06999266713905032,0.0,2.1510286232879676,4.58,1.488528563041569,1.47,7.763555429295255,5.38,2.2644363803988563,2.74,0.5341056234799492,0.7,18.25788625801574,34.18,5.422906257381407,6.1,1.7257821289390851,11.1,0.3129356255955829,0.46,0.1079946582102726,0.0,0.42309234246665994,0.0
50,50,铅钡,普通,38.91830965920084,17.98,0.7841753950371974,0.0,0.08033455701771212,0.0,1.7195755235289112,3.19,0.546245102248404,0.47,3.097204268540996,1.87,0.31302091808216165,0.33,0.9895948220810283,1.13,26.976212590995292,44.0,14.489068534105513,14.2,1.131363352167002,6.34,0.5153365806177148,0.66,0.12395159924918944,0.0,0.4856070971280667,0.0
51部位1,51,铅钡,部位1,48.36077807564306,24.61,0.7119190191348195,0.0,0.07293227943216314,0.0,1.751987415618412,3.58,1.2556079115001617,1.19,7.894141923583872,5.25,1.0247637786612058,1.19,1.089223297507181,1.37,22.39771195306933,40.24,8.281462222849582,8.94,1.3122459821408885,8.1,0.27645791415552595,0.39,0.4599064877863917,0.47,0.44086173891737745,0.0
51部位2,51,铅钡,部位2,46.5966305365599,21.35,0.7906887571186534,0.0,0.0810018159763854,0.0,2.788305073516928,5.13,1.6992217269382461,1.45,4.191739800457441,2.51,0.4016992895068716,0.42,0.6622661935294434,0.75,31.737777819183666,51.34,0.5144160126919347,0.0,1.5743933765413056,8.75,0.04723790609799728,0.0,0.12498114143017959,0.0,0.4896405504510572,0.0
52,52,铅钡,普通,51.05689575882971,25.74,2.1917682558579683,1.22,0.0736179949880298,0.0,1.1213417979227562,2.27,0.5857792308531055,0.55,1.7606288487381705,1.16,0.19992579833476626,0.23,0.5617700642027418,0.7,26.642282593242967,47.42,8.078810972153045,8.64,0.9337498368317111,5.71,0.3148337586998732,0.44,0.11358833048986906,0.0,0.4450067588552673,0.0
54,54,铅钡,普通,46.394385541003615,22.28,0.7543956407727341,0.0,0.4496510903591847,0.32,1.654273121982063,3.19,1.431151554212752,1.28,6.612448431464482,4.15,0.07756473365501129,0.0,0.699266981591808,0.83,32.71102274855907,55.46,6.910520191246803,7.04,0.7278881752776191,4.24,0.6610216241742526,0.88,0.1192444276270129,0.0,0.46716573807360773,0.0
54严重风化点,54,铅钡,严重风化点,41.28353448582482,17.11,0.8741295307178895,0.0,0.08954987502890373,0.0,0.11116418311815036,0.0,1.4380542096289723,1.11,6.73881739009645,3.65,0.08987541889911155,0.0,1.3081162780216091,1.34,39.953027196288595,58.46,0.568701937038786,0.0,2.8107200490620516,14.13,0.9748272021473947,1.12,0.13817030471644204,0.0,0.5413119394108229,0.0
56,56,铅钡,普通,52.48578054206509,29.15,0.6523069873541416,0.0,0.06682534698269586,0.0,0.5425687310904003,1.21,0.22719374980370907,0.0,2.5488177929823514,1.85,0.06706827956163812,0.0,0.5754994080697141,0.79,21.03735187563925,41.25,13.113524297342998,15.45,0.3770382271238658,2.54,0.038970601185718455,0.0,0.1031076654478954,0.0,0.40394649535053795,0.0
57,57,铅钡,普通,47.313628784645665,25.42,0.6743100638638008,0.0,0.06907944398142464,0.0,0.6072231178099872,1.31,0.23485726032307958,0.0,3.104782388477821,2.18,0.06933057095997441,0.0,0.8735411940040642,1.16,23.776683180717495,45.1,15.179052234115314,17.3,0.0030689461957944257,0.0,0.040285125077291074,0.0,0.10658560742240122,0.0,0.4175720824058869,0.0
58,58,铅钡,普通,57.192222603331025,30.39,0.681797185095344,0.0,0.4317781122494505,0.34,1.635678672944726,3.49,0.7982864944018798,0.79,5.068890371619848,3.52,0.7092508496167492,0.86,2.383226398203188,3.13,20.975630700367667,39.35,6.795522963441465,7.66,1.3948083320123594,8.99,0.16292970460223555,0.24,0.10776906798019939,0.0,0.4222085441338441,0.0
