类型,成分1,成分2,比例协调系数rho,rho_CI低,rho_CI高,p值_置换,Spearman_r_原始,p_FDR,稳健关联
高钾,CuO,P2O5,0.11588511437952576,-0.13218712584787967,0.8581168872990993,0.69,0.5617647058823529,0.9025000000000001,False
高钾,PbO,BaO,0.6057775919559627,0.12009923957617559,0.9538652686829557,0.032,0.7479575920067656,0.24,True
高钾,PbO,P2O5,-0.052781082755385775,-0.5856738871655484,0.1692636641265366,0.922,-0.22987635210021484,0.9648837209302326,False
高钾,BaO,P2O5,0.216895495083515,-0.2187171939690613,0.4999583385852942,0.412,0.0921095157729515,0.713076923076923,False
铅钡,SiO2,K2O,-0.010281081114220238,-0.1388249829028782,0.1456668760616427,0.882,0.051405016689913964,0.9020454545454545,False
铅钡,SiO2,CaO,-0.10311305043071917,-0.24287514933878593,0.046934302829112914,0.284,-0.20189511211183037,0.44068965517241376,False
铅钡,SiO2,MgO,0.05151378707732013,-0.0793810995066671,0.21310445542737072,0.518,0.07568110456630886,0.684,False
铅钡,SiO2,Al2O3,0.15258493312958055,-0.05881423030935006,0.30986846013643665,0.152,0.19935269030796335,0.32571428571428573,False
铅钡,SiO2,Fe2O3,0.00948736505091282,-0.0848739034210769,0.12032510651426667,0.856,0.011818451041265356,0.9020454545454545,False
铅钡,SiO2,CuO,-0.10947930789431261,-0.29094938073192494,0.039752529332264586,0.042,-0.4918617201339538,0.135,False
铅钡,SiO2,PbO,-0.4053877113723313,-0.6164637559515308,-0.18850018005531607,0.006,-0.5867066942051777,0.045000000000000005,True
铅钡,SiO2,BaO,-0.33637242515955385,-0.5390287749284104,-0.1617807697885122,0.002,-0.5473052212972509,0.0225,True
铅钡,SiO2,P2O5,-0.07333533430555009,-0.127443468514601,-0.02512730089066165,0.03,-0.30165660393872024,0.11076923076923076,True
铅钡,K2O,CaO,0.020526313740154047,-0.30393428633436953,0.36977698521262187,0.908,0.15980663780840712,0.908,False
铅钡,K2O,MgO,0.3424940093544062,0.05067252380208448,0.582462899627043,0.028,0.37428155204562996,0.11076923076923076,True
铅钡,K2O,Al2O3,0.457177949862082,0.29471312098925917,0.5763799974838656,0.002,0.5219196911102512,0.0225,True
铅钡,K2O,Fe2O3,0.21269900347490872,-0.1522217371875778,0.5494049882769773,0.226,0.23757420965858847,0.4119230769230769,False
铅钡,K2O,CuO,-0.19390878236945022,-0.4967757358777664,0.15481760096404995,0.192,-0.11737084879306871,0.3756521739130435,False
铅钡,K2O,PbO,-0.1771717407059276,-0.3882247935852853,0.0200961475882447,0.086,-0.24310519281638812,0.20368421052631577,False
铅钡,K2O,BaO,-0.1578035858946925,-0.5010094864117672,0.21033861930758374,0.316,-0.07489556964617755,0.46741935483870967,False
铅钡,K2O,P2O5,0.14039629180984195,-0.056429369398106145,0.3449046737158951,0.272,0.15178877454096626,0.43714285714285717,False
铅钡,CaO,MgO,0.3218453268589141,-0.055688866123320684,0.6358504030623704,0.06,0.4233338201285316,0.16874999999999998,False
铅钡,CaO,Al2O3,0.23186570407414034,-0.015735036057120955,0.4974025147899485,0.112,0.4049908536750484,0.252,False
铅钡,CaO,Fe2O3,0.2696356877068486,-0.03519757537460696,0.553222789123921,0.07,0.43231893908948676,0.17500000000000002,False
铅钡,CaO,CuO,-0.17563069816015428,-0.45314645634744977,0.1409213089628179,0.232,-0.07232984669526576,0.4119230769230769,False
铅钡,CaO,PbO,0.11273886559080572,-0.12268941792680887,0.3116544815133522,0.364,0.08246165401444695,0.511875,False
铅钡,CaO,BaO,-0.19557806725407068,-0.3940648818382947,-0.007800766743740488,0.192,-0.2806885879536124,0.3756521739130435,True
铅钡,CaO,P2O5,0.2047490318979731,-0.011721584472353153,0.4621887825945216,0.068,0.5090807155456186,0.17500000000000002,False
铅钡,MgO,Al2O3,0.46122787716604546,0.19019062869051767,0.6995037366352781,0.002,0.609658757504825,0.0225,True
铅钡,MgO,Fe2O3,0.07418430596507507,-0.1972385336470718,0.35569950742631656,0.694,0.12320924121663042,0.78975,False
铅钡,MgO,CuO,-0.18595091268061295,-0.3998317990712716,0.07361604108782306,0.238,-0.15220277338603386,0.4119230769230769,False
铅钡,MgO,PbO,-0.050756251343355485,-0.28297350273327404,0.14087573895472516,0.702,-0.026465952550418014,0.78975,False
铅钡,MgO,BaO,-0.3151758452341916,-0.5021919826922385,-0.09216333105163382,0.058,-0.34603526573037646,0.16874999999999998,True
铅钡,MgO,P2O5,0.11471066232535618,-0.1046754722978668,0.3484689303848095,0.322,0.2035819541338779,0.46741935483870967,False
铅钡,Al2O3,Fe2O3,0.2695358945784512,0.10011336962715754,0.4396577543220606,0.022,0.4010521421367115,0.11,True
铅钡,Al2O3,CuO,-0.11199537498580481,-0.3566507246877875,0.19385805429575106,0.39,-0.15628517823639776,0.5318181818181819,False
铅钡,Al2O3,PbO,-0.45822085208688906,-0.6238104052252584,-0.16800869894074905,0.002,-0.30994371482176364,0.0225,True
铅钡,Al2O3,BaO,-0.35807015456533997,-0.52972774097485,-0.15005266854560081,0.032,-0.3703564727954972,0.11076923076923076,True
铅钡,Al2O3,P2O5,0.019274671745237063,-0.13628490898344345,0.21331555874746735,0.814,0.23078369504887714,0.8934146341463414,False
铅钡,Fe2O3,CuO,-0.3704036493876612,-0.6134576450581308,-0.09366198183650062,0.026,-0.32447217157312447,0.11076923076923076,True
铅钡,Fe2O3,PbO,-0.03424072374027723,-0.18879138297416756,0.12575829250621332,0.694,0.050013338800169824,0.78975,False
铅钡,Fe2O3,BaO,-0.3362520863030119,-0.5483931071780878,-0.10972574733329303,0.01,-0.48803186178918084,0.05625,True
铅钡,Fe2O3,P2O5,0.3837236591698266,0.15299308664945463,0.5946563446501517,0.006,0.4360958973721161,0.045000000000000005,True
铅钡,CuO,PbO,-0.009514204629100525,-0.23421233895566956,0.2722152337930453,0.872,0.008818011257035649,0.9020454545454545,False
铅钡,CuO,BaO,0.4118237176217599,0.20790492271680774,0.6511106803232911,0.008,0.4902439024390245,0.05142857142857143,True
铅钡,CuO,P2O5,0.08647787274241282,-0.12576048268853512,0.30496778277856174,0.532,0.21088693077463477,0.684,False
铅钡,PbO,BaO,0.05894359912359298,-0.19136585530529834,0.27855263933355084,0.646,-0.0028142589118198874,0.7856756756756756,False
铅钡,PbO,P2O5,0.06607454442311606,-0.03275924605524792,0.14832453372274837,0.264,0.14866261608679193,0.43714285714285717,False
铅钡,BaO,P2O5,-0.05378554040838603,-0.18202397628018033,0.09479819016147564,0.564,-0.15776632426887452,0.705,False
